names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,70,2024-06-25 22:35:37,0.1,60.0,11.5,48.4,1009.9,42.0,70.0,1.6,28.8,1.0
"Cuatro Caminos, Madrid, Spain",Madrid,119,2024-06-25 22:35:37,,60.0,25.6,,1009.9,51.0,119.0,,26.6,1.0
"Sanchinarro, Madrid, Spain",Madrid,91,2024-06-25 22:35:37,,62.0,12.4,,1007.6,41.0,91.0,,26.1,3.2
"Plaza De Castilla, Madrid, Spain",Madrid,89,2024-06-25 22:35:37,,60.0,16.5,,1009.9,43.0,89.0,,26.6,1.0
"Castellana, Madrid, Spain",Madrid,70,2024-06-25 22:35:37,,60.0,11.5,,1009.9,42.0,70.0,,26.6,1.0
"Fernandez Ladreda, Madrid, Spain",Madrid,50,2024-06-25 22:35:37,,34.0,17.9,,1009.0,19.0,50.0,,30.5,0.5
"Casa De Campo, Madrid, Spain",Madrid,44,2024-06-25 22:35:37,,60.0,3.7,43.5,1009.9,6.0,5.0,,26.6,1.0
"Escuelas Aguirre, Madrid, Spain",Madrid,40,2024-06-25 22:35:37,0.1,60.0,12.8,40.3,1009.9,30.0,50.0,1.6,26.6,1.0
"Plaza Elíptica, Madrid, Spain",Madrid,30,2024-06-25 22:35:37,0.1,34.0,18.8,,1009.0,15.0,30.0,,30.5,0.5
"Mendez Alvaro, Madrid, Spain",Madrid,25,2024-06-25 22:35:37,,40.0,8.3,,1008.6,7.0,25.0,,28.8,1.0
"Media  Red, Madrid, Spain",Madrid,-,2024-06-25 22:35:37,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,42,2024-06-25 22:35:37,,57.8,1.4,41.5,1011.8,12.0,42.0,1.1,25.2,0.3
"algete, Madrid, Spain",Madrid,64,2024-06-25 22:35:37,,51.0,3.7,63.6,1006.1,,53.0,,26.0,3.4
"alcorcón, Madrid, Spain",Madrid,46,2024-06-25 22:35:37,,34.0,4.6,42.3,1009.0,,46.0,,30.5,0.5
"valdemoro, Madrid, Spain",Madrid,42,2024-06-25 22:35:37,,40.0,6.0,41.9,1008.0,,42.0,,30.5,1.0
"torrejon de ardoz, Madrid, Spain",Madrid,57,2024-06-25 22:35:37,,44.5,7.8,45.5,1008.0,22.0,57.0,,26.5,4.8
"villa del prado, Madrid, Spain",Madrid,59,2024-06-25 22:35:37,,55.0,1.4,46.3,1003.0,19.0,59.0,1.1,26.1,1.0
"collado villalba, Madrid, Spain",Madrid,42,2024-06-25 22:35:37,,43.7,6.9,38.2,1006.6,,42.0,0.6,27.5,0.5
"villarejo de salvanes, Madrid, Spain",Madrid,44,2024-06-25 22:35:37,,39.3,2.8,44.3,1011.9,,34.0,,29.8,2.3
"San Nicolas, Canarias, Spain",Canarias,25,2024-06-25 22:35:37,0.1,63.3,1.0,20.4,1009.8,12.0,25.0,0.6,22.1,12.3
"Mercado Central, Canarias, Spain",Canarias,25,2024-06-25 22:35:37,0.1,63.3,2.3,15.1,1009.8,13.0,25.0,0.6,22.1,12.3
"Lezcano, Canarias, Spain",Canarias,25,2024-06-25 22:35:37,0.1,65.5,2.8,24.0,1009.4,16.0,25.0,2.1,22.8,10.2
"La Loma-Telde, Canarias, Spain",Canarias,24,2024-06-25 22:35:37,0.1,65.5,2.8,23.6,1009.4,23.0,17.0,2.6,22.8,10.2
"Jinamar fase 3, Canarias, Spain",Canarias,23,2024-06-25 22:35:37,0.1,65.5,2.8,22.8,1009.4,16.0,9.0,2.1,22.8,10.2
"Nestor Alamo, Canarias, Spain",Canarias,21,2024-06-25 22:35:37,0.1,63.3,4.2,19.1,1009.8,14.0,21.0,0.6,22.1,12.3
"Barcelona, Catalunya, Spain",Catalunya,35,2024-06-25 22:35:37,0.1,71.0,1.0,35.4,1013.4,14.0,30.0,0.6,21.1,1.5
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,34,2024-06-25 22:35:37,0.1,71.0,5.5,33.8,1013.4,14.0,30.0,1.1,21.1,1.5
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,34,2024-06-25 22:35:37,0.1,71.0,6.0,33.8,1013.4,21.0,30.0,1.1,21.1,1.5
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,33,2024-06-25 22:35:37,0.1,71.0,4.2,32.9,1013.4,18.0,25.0,0.6,21.1,1.5
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,31,2024-06-25 22:35:37,,74.0,6.4,30.5,1012.3,20.0,,,23.3,2.5
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,30,2024-06-25 22:35:37,0.1,71.0,7.4,30.1,1013.4,19.0,30.0,0.6,21.1,1.5
"Barcelona (Eixample), Catalunya, Spain",Catalunya,29,2024-06-25 22:35:37,0.1,78.5,8.3,28.9,1010.8,18.0,30.0,1.1,23.3,
