names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,39,2024-06-27 21:42:35,0.1,35.0,8.3,38.6,1013.5,20.0,21.0,1.6,28.8,10.0
"Escuelas Aguirre, Madrid, Spain",Madrid,72,2024-06-27 21:42:35,0.1,31.5,7.8,38.6,1012.8,69.0,72.0,1.6,30.0,9.7
"Cuatro Caminos, Madrid, Spain",Madrid,68,2024-06-27 21:42:35,,32.0,5.5,,1013.5,65.0,68.0,,28.8,10.0
"Fernandez Ladreda, Madrid, Spain",Madrid,65,2024-06-27 21:42:35,,32.0,16.0,,1011.5,55.0,65.0,,30.5,6.4
"Plaza De Castilla, Madrid, Spain",Madrid,62,2024-06-27 21:42:35,,32.0,6.4,,1013.5,62.0,53.0,,28.8,10.0
"Sanchinarro, Madrid, Spain",Madrid,61,2024-06-27 21:42:35,,34.0,3.7,,1011.1,61.0,57.0,,28.8,13.0
"Mendez Alvaro, Madrid, Spain",Madrid,59,2024-06-27 21:42:35,,35.0,2.8,,1012.5,58.0,59.0,,28.8,9.0
"Casa De Campo, Madrid, Spain",Madrid,59,2024-06-27 21:42:35,,31.5,4.2,44.7,1012.8,59.0,50.0,,30.0,9.7
"Plaza Elíptica, Madrid, Spain",Madrid,56,2024-06-27 21:42:35,0.1,32.0,11.9,,1011.5,56.0,46.0,,30.5,6.4
"Castellana, Madrid, Spain",Madrid,21,2024-06-27 21:42:35,,32.0,8.3,,1013.5,20.0,21.0,,28.8,10.0
"Media  Red, Madrid, Spain",Madrid,-,2024-06-27 21:42:35,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,82,2024-06-27 21:42:35,,36.0,0.5,40.3,1013.9,40.0,82.0,1.1,28.7,0.1
"algete, Madrid, Spain",Madrid,87,2024-06-27 21:42:35,,33.7,2.3,45.1,1009.2,,87.0,,30.9,8.7
"alcorcón, Madrid, Spain",Madrid,72,2024-06-27 21:42:35,,32.0,2.8,40.3,1011.5,,72.0,,30.5,6.4
"valdemoro, Madrid, Spain",Madrid,78,2024-06-27 21:42:35,,30.0,3.2,41.9,1011.0,,78.0,,31.5,6.9
"torrejon de ardoz, Madrid, Spain",Madrid,40,2024-06-27 21:42:35,,27.0,3.2,40.3,1010.5,1.0,5.0,,31.5,6.1
"villa del prado, Madrid, Spain",Madrid,58,2024-06-27 21:42:35,,32.0,1.9,57.8,1011.5,21.0,55.0,1.1,30.5,6.4
"collado villalba, Madrid, Spain",Madrid,68,2024-06-27 21:42:35,,34.6,4.6,41.9,1009.7,,68.0,0.6,28.8,0.6
"villarejo de salvanes, Madrid, Spain",Madrid,65,2024-06-27 21:42:35,,31.2,2.3,44.7,1015.1,,65.0,,31.6,3.5
"Mercado Central, Canarias, Spain",Canarias,30,2024-06-27 21:42:35,0.1,57.2,3.7,23.2,1012.1,18.0,30.0,0.6,24.1,12.3
"Lezcano, Canarias, Spain",Canarias,29,2024-06-27 21:42:35,0.1,57.2,2.8,29.3,1012.1,16.0,5.0,2.1,24.1,12.3
"Jinamar fase 3, Canarias, Spain",Canarias,28,2024-06-27 21:42:35,0.1,57.2,2.8,27.7,1012.1,8.0,5.0,2.1,24.1,12.3
"La Loma-Telde, Canarias, Spain",Canarias,28,2024-06-27 21:42:35,0.1,57.2,2.8,27.7,1012.1,16.0,9.0,3.1,24.1,12.3
"San Nicolas, Canarias, Spain",Canarias,27,2024-06-27 21:42:35,0.1,57.2,1.0,26.9,1012.1,8.0,17.0,0.6,24.1,12.3
"Nestor Alamo, Canarias, Spain",Canarias,24,2024-06-27 21:42:35,0.1,57.2,6.9,24.0,1012.1,11.0,21.0,0.6,24.1,12.3
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,39,2024-06-27 21:42:35,0.1,52.0,11.9,38.6,1015.9,13.0,21.0,0.6,24.4,1.0
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,39,2024-06-27 21:42:35,0.1,52.0,9.6,38.6,1015.9,14.0,21.0,1.1,24.4,1.0
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,39,2024-06-27 21:42:35,0.1,52.0,10.6,38.6,1015.9,16.0,21.0,1.1,24.4,1.0
"Barcelona (Eixample), Catalunya, Spain",Catalunya,35,2024-06-27 21:42:35,0.1,69.5,17.4,34.6,1013.1,14.0,25.0,1.6,24.7,
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,35,2024-06-27 21:42:35,,65.0,2.8,35.0,1014.7,14.0,,,24.7,0.5
