names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,22,2024-06-26 08:57:34,0.1,63.3,7.4,21.6,1012.7,11.0,21.0,1.6,21.6,3.5
"Plaza De Castilla, Madrid, Spain",Madrid,63,2024-06-26 08:57:34,,60.0,16.5,,1012.7,24.0,63.0,,21.6,3.0
"Escuelas Aguirre, Madrid, Spain",Madrid,42,2024-06-26 08:57:34,0.1,60.0,11.0,21.6,1012.8,21.0,42.0,1.6,21.6,3.0
"Sanchinarro, Madrid, Spain",Madrid,42,2024-06-26 08:57:34,,62.3,9.6,,1010.5,15.0,42.0,,22.5,2.0
"Mendez Alvaro, Madrid, Spain",Madrid,34,2024-06-26 08:57:34,,62.8,7.8,,1011.5,18.0,34.0,,21.6,2.2
"Cuatro Caminos, Madrid, Spain",Madrid,34,2024-06-26 08:57:34,,60.0,8.7,,1012.7,17.0,34.0,,21.6,3.0
"Plaza Elíptica, Madrid, Spain",Madrid,34,2024-06-26 08:57:34,0.1,64.0,22.0,,1011.0,16.0,34.0,,21.0,3.6
"Fernandez Ladreda, Madrid, Spain",Madrid,30,2024-06-26 08:57:34,,60.0,11.5,,1011.5,15.0,30.0,,21.5,3.3
"Casa De Campo, Madrid, Spain",Madrid,28,2024-06-26 08:57:34,,60.0,6.0,27.7,1012.7,14.0,25.0,,21.6,3.0
"Castellana, Madrid, Spain",Madrid,21,2024-06-26 08:57:34,,60.0,7.4,,1012.7,11.0,21.0,,21.6,3.0
"Media  Red, Madrid, Spain",Madrid,-,2024-06-26 08:57:34,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,17,2024-06-26 08:57:34,,89.0,1.0,16.7,1013.7,3.0,5.0,4.1,17.4,0.1
"algete, Madrid, Spain",Madrid,42,2024-06-26 08:57:34,,73.3,2.8,27.7,1009.2,,42.0,,21.3,0.3
"alcorcón, Madrid, Spain",Madrid,38,2024-06-26 08:57:34,,64.0,6.0,22.0,1011.0,,38.0,,21.0,3.6
"valdemoro, Madrid, Spain",Madrid,50,2024-06-26 08:57:34,,64.0,9.6,18.3,1011.0,,50.0,,22.0,1.0
"torrejon de ardoz, Madrid, Spain",Madrid,38,2024-06-26 08:57:34,,72.0,10.1,15.5,1011.0,13.0,38.0,,20.0,2.0
"villa del prado, Madrid, Spain",Madrid,34,2024-06-26 08:57:34,,73.0,2.8,27.7,1005.6,10.0,34.0,1.1,20.0,1.0
"collado villalba, Madrid, Spain",Madrid,38,2024-06-26 08:57:34,,81.6,10.1,18.7,1008.7,,38.0,0.6,18.8,0.7
"villarejo de salvanes, Madrid, Spain",Madrid,30,2024-06-26 08:57:34,,61.2,5.1,26.0,1015.3,,30.0,,22.3,2.0
"Mercado Central, Canarias, Spain",Canarias,34,2024-06-26 08:57:34,0.1,73.0,1.0,21.6,1010.1,21.0,34.0,0.6,20.4,9.2
"Nestor Alamo, Canarias, Spain",Canarias,30,2024-06-26 08:57:34,0.1,73.0,5.1,22.4,1010.1,18.0,30.0,0.6,20.4,9.2
"Lezcano, Canarias, Spain",Canarias,24,2024-06-26 08:57:34,0.1,73.0,2.8,24.0,1010.1,15.0,9.0,2.1,20.4,9.2
"San Nicolas, Canarias, Spain",Canarias,23,2024-06-26 08:57:34,0.1,73.0,1.0,23.2,1010.1,11.0,21.0,0.6,20.4,9.2
"Jinamar fase 3, Canarias, Spain",Canarias,23,2024-06-26 08:57:34,0.1,73.0,2.8,22.8,1010.1,13.0,5.0,2.1,20.4,9.2
"La Loma-Telde, Canarias, Spain",Canarias,22,2024-06-26 08:57:34,0.1,73.0,2.8,22.4,1010.1,21.0,17.0,2.6,20.4,9.2
"Barcelona, Catalunya, Spain",Catalunya,33,2024-06-26 08:57:34,0.1,81.5,3.2,32.5,1014.2,15.0,25.0,0.6,20.2,1.5
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,26,2024-06-26 08:57:34,0.1,81.5,13.3,26.0,1014.2,18.0,30.0,0.6,20.2,1.5
"Barcelona (Eixample), Catalunya, Spain",Catalunya,22,2024-06-26 08:57:34,0.1,80.3,13.8,21.6,1011.0,18.0,30.0,1.6,22.5,
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,22,2024-06-26 08:57:34,0.1,81.0,9.6,22.4,1014.2,14.0,25.0,1.1,20.7,1.5
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,22,2024-06-26 08:57:34,0.1,81.5,11.0,22.4,1014.2,21.0,25.0,1.1,20.2,1.5
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,21,2024-06-26 08:57:34,,77.5,24.7,16.3,1013.1,21.0,,,22.5,0.5
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,20,2024-06-26 08:57:34,0.1,81.0,12.4,19.5,1014.3,19.0,25.0,0.6,20.7,1.5
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,20,2024-06-26 08:57:34,0.1,81.0,9.6,25.0,1011.0,20.0,,,22.5,
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,14,2024-06-26 08:57:34,0.1,76.2,19.2,11.0,1012.4,14.0,,0.6,23.0,1.7
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-06-26 08:57:34,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Mazarredo, Bilbao, País Vasco, Spain",Pais_Vasco,61,2024-06-26 08:57:34,0.1,96.5,17.0,,1009.5,21.0,61.0,0.6,19.5,1.8
"Europa, Bilbao, País Vasco, Spain",Pais_Vasco,59,2024-06-26 08:57:34,,96.5,14.7,5.3,1009.5,22.0,59.0,1.6,19.5,1.8
"Baracaldo, Barakaldo, País Vasco, Spain",Pais_Vasco,59,2024-06-26 08:57:34,0.1,90.3,17.0,,1009.8,27.0,59.0,1.1,19.0,0.2
"Sangroniz, Sondika, País Vasco, Spain",Pais_Vasco,57,2024-06-26 08:57:34,,96.5,13.8,,1009.5,21.0,57.0,,19.5,1.8
"Basauri, País Vasco, Spain",Pais_Vasco,57,2024-06-26 08:57:34,,60.0,12.8,,1009.7,24.0,57.0,1.6,18.7,0.6
"Erandio, País Vasco, Spain",Pais_Vasco,57,2024-06-26 08:57:34,0.1,90.3,16.5,,1009.8,24.0,57.0,1.1,19.0,0.2
"Alonsotegi, País Vasco, Spain",Pais_Vasco,42,2024-06-26 08:57:34,,96.5,3.7,,1009.5,16.0,42.0,,19.5,1.8
"Arraiz, Bilbao, País Vasco, Spain",Pais_Vasco,21,2024-06-26 08:57:34,,96.5,5.5,19.5,1009.5,21.0,,3.6,19.5,1.8
"Castrejana, Barakaldo, País Vasco, Spain",Pais_Vasco,16,2024-06-26 08:57:34,,96.5,6.9,9.0,1009.5,16.0,,,19.5,1.8
"Mº Diaz Haro, Bilbao, País Vasco",Pais_Vasco,-,2024-06-26 08:57:34,0.1,31.0,,12.0,1008.0,34.0,,2.1,32.55,3.1
"Principes, Sevilla, Spain",Andalucia,59,2024-06-26 08:57:34,4.0,80.0,5.5,27.0,1007.6,17.0,59.0,3.1,20.5,3.6
"Aljarafe, Mairena Del Aljarafe, Spain",Andalucia,59,2024-06-26 08:57:34,4.0,78.7,1.4,27.4,1007.4,38.0,59.0,1.1,19.7,2.2
"Torneo, Sevilla, Spain",Andalucia,58,2024-06-26 08:57:34,4.0,79.7,11.0,25.2,1007.6,21.0,58.0,2.1,20.6,3.2
"Santa Clara, Sevilla, Spain",Andalucia,36,2024-06-26 08:57:34,4.0,81.2,6.0,30.0,1007.0,15.0,36.0,2.1,21.1,4.4
"Ranilla, Sevilla, Spain",Andalucia,36,2024-06-26 08:57:34,4.0,81.7,10.1,31.6,1007.0,15.0,36.0,2.1,21.1,4.5
"Bermejales, Sevilla, Spain",Andalucia,36,2024-06-26 08:57:34,4.0,81.2,11.5,27.0,1007.0,17.0,36.0,1.6,21.1,4.4
"Carvajal - Sevillana, Bogota, Colombia",Andalucia,46,2024-06-26 08:57:34,3.7,93.0,8.3,2.4,1029.0,43.0,46.0,1.1,15.2,1.0
"Lope de Vega, Vigo, Galicia, Spain",Galicia,42,2024-06-26 08:57:34,1.0,95.6,10.0,10.6,1005.7,7.0,42.0,0.9,16.6,0.1
"Coia, Vigo, Galicia, Spain",Galicia,42,2024-06-26 08:57:34,1.0,95.6,3.5,17.1,1005.7,6.0,42.0,1.9,16.6,0.1
"Estación 1, Este, Galicia, Spain",Galicia,17,2024-06-26 08:57:34,1.0,95.7,4.5,17.1,1005.8,6.0,12.0,0.6,16.6,0.1
Worcester Summer St,Galicia,53,2024-06-26 08:57:34,2.3,71.1,4.7,36.8,1007.9,20.0,53.0,0.3,20.0,3.7
"Sensor Box 5, Oregon, USA",Galicia,32,2024-06-26 08:57:34,1.4,55.2,5.0,32.2,29.33,,2.0,0.9,25.4,4.2
"Tualatin I-5 Roadway, Oregon, USA",Galicia,22,2024-06-26 08:57:34,0.1,37.0,14.9,0.1,1009.9,,22.0,,25.8,2.0
"Portland, Oregon, USA",Galicia,18,2024-06-26 08:57:34,0.1,59.0,4.7,0.1,1010.1,,18.0,1.0,22.2,
"Portland Postal Bldg., Oregon, USA",Galicia,13,2024-06-26 08:57:34,1.6,92.0,6.1,12.6,,,,0.1,-72.8,
"Avignon Rocade CDG, PACA, France",Galicia,43,2024-06-26 08:57:34,,82.0,17.4,,1013.0,29.0,43.0,,20.0,2.0
"Avignon Mairie, PACA, France",Galicia,38,2024-06-26 08:57:34,,93.0,10.4,12.1,1013.0,15.0,38.0,,20.5,0.2
"Le Pontet, PACA, France",Galicia,38,2024-06-26 08:57:34,,82.0,6.1,3.0,1013.0,18.0,38.0,,20.0,2.0
"Avignon_semard, PACA, France",Galicia,33,2024-06-26 08:57:34,,57.0,5.4,19.4,1030.0,7.0,33.0,,11.0,3.0
