names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,25,2024-07-02 08:05:54,0.1,73.0,4.2,15.9,1023.3,7.0,25.0,1.6,15.5,3.6,2024-07-02,8,mañana,Buena
"Castellana, Madrid, Spain",Madrid,25,2024-07-02 08:05:55,,64.5,4.2,,1023.3,7.0,25.0,,15.5,2.5,2024-07-02,8,mañana,Buena
"Casa De Campo, Madrid, Spain",Madrid,19,2024-07-02 08:05:56,,64.5,3.7,18.7,1023.3,5.0,9.0,,15.5,2.5,2024-07-02,8,mañana,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,16,2024-07-02 08:05:56,0.1,64.5,4.2,15.9,1023.3,3.0,9.0,1.6,15.5,2.5,2024-07-02,8,mañana,Buena
"Mendez Alvaro, Madrid, Spain",Madrid,9,2024-07-02 08:05:57,,72.2,3.2,,1022.1,2.0,9.0,,15.1,4.2,2024-07-02,8,mañana,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,9,2024-07-02 08:05:58,,64.5,6.0,,1023.3,5.0,9.0,,15.5,2.5,2024-07-02,8,mañana,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,9,2024-07-02 08:05:59,0.1,67.0,7.8,,1022.0,4.0,9.0,,16.0,2.5,2024-07-02,8,mañana,Buena
"Sanchinarro, Madrid, Spain",Madrid,5,2024-07-02 08:05:59,,65.0,1.9,,1021.0,1.0,5.0,,15.9,5.2,2024-07-02,8,mañana,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,5,2024-07-02 08:06:00,,67.0,4.2,,1022.0,3.0,5.0,,16.0,2.5,2024-07-02,8,mañana,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,2,2024-07-02 08:06:01,,64.5,4.2,,1023.3,2.0,5.0,,15.5,2.5,2024-07-02,8,mañana,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-07-02 08:06:01,,88.0,,,1025.9,,,,7.7,1.7,2024-07-02,8,mañana,-
"el atazar, Madrid, Spain",Madrid,26,2024-07-02 08:06:02,,67.7,1.0,25.6,1023.3,1.0,9.0,1.1,13.4,0.6,2024-07-02,8,mañana,Buena
"algete, Madrid, Spain",Madrid,23,2024-07-02 08:06:03,,72.5,1.0,23.2,1021.0,,21.0,,15.0,2.8,2024-07-02,8,mañana,Buena
