names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Madrid,41,2024-06-27 17:21:17,0.1,28.4,4.2,40.7,1012.4,1.0,5.0,1.6,32.3,3.2,2024-06-27,17,tarde,Buena
"Plaza Elíptica, Madrid, Spain",Madrid,63,2024-06-27 17:21:17,0.1,26.5,13.8,,1011.0,28.0,63.0,,33.0,1.8,2024-06-27,17,tarde,Moderada
"Mendez Alvaro, Madrid, Spain",Madrid,53,2024-06-27 17:21:17,,28.4,4.2,,1011.0,20.0,53.0,,32.3,3.2,2024-06-27,17,tarde,Moderada
"Casa De Campo, Madrid, Spain",Madrid,47,2024-06-27 17:21:17,,27.2,2.8,46.8,1012.4,13.0,21.0,,31.5,3.0,2024-06-27,17,tarde,Buena
"Cuatro Caminos, Madrid, Spain",Madrid,42,2024-06-27 17:21:17,,27.2,10.1,,1012.4,23.0,42.0,,31.5,3.0,2024-06-27,17,tarde,Buena
"Fernandez Ladreda, Madrid, Spain",Madrid,42,2024-06-27 17:21:17,,26.5,15.1,,1011.0,22.0,42.0,,33.0,1.8,2024-06-27,17,tarde,Buena
"Escuelas Aguirre, Madrid, Spain",Madrid,41,2024-06-27 17:21:17,0.1,27.2,6.4,40.7,1012.4,20.0,34.0,1.6,31.5,3.0,2024-06-27,17,tarde,Buena
"Sanchinarro, Madrid, Spain",Madrid,21,2024-06-27 17:21:17,,28.7,4.2,,1010.0,12.0,21.0,,32.0,2.2,2024-06-27,17,tarde,Buena
"Plaza De Castilla, Madrid, Spain",Madrid,15,2024-06-27 17:21:17,,27.2,5.1,,1012.4,15.0,13.0,,31.5,3.0,2024-06-27,17,tarde,Buena
"Castellana, Madrid, Spain",Madrid,5,2024-06-27 17:21:17,,27.2,4.2,,1012.4,1.0,5.0,,31.5,3.0,2024-06-27,17,tarde,Buena
"Media  Red, Madrid, Spain",Madrid,-,2024-06-27 17:21:17,,88.0,,,1025.9,,,,7.7,1.7,2024-06-27,17,tarde,-
"el atazar, Madrid, Spain",Madrid,50,2024-06-27 17:21:17,,37.2,0.5,43.1,1014.0,10.0,50.0,1.1,29.7,0.5,2024-06-27,17,tarde,Buena
"algete, Madrid, Spain",Madrid,57,2024-06-27 17:21:17,,30.0,1.4,45.9,1009.0,,57.0,,32.7,4.8,2024-06-27,17,tarde,Moderada
"alcorcón, Madrid, Spain",Madrid,46,2024-06-27 17:21:17,,26.5,4.6,43.5,1011.0,,46.0,,33.0,1.8,2024-06-27,17,tarde,Buena
"valdemoro, Madrid, Spain",Madrid,46,2024-06-27 17:21:17,,25.0,3.2,42.7,1010.5,,46.0,,33.5,2.8,2024-06-27,17,tarde,Buena
"torrejon de ardoz, Madrid, Spain",Madrid,46,2024-06-27 17:21:17,,40.0,13.8,20.8,1012.5,15.0,46.0,,26.0,4.6,2024-06-27,17,tarde,Buena
"villa del prado, Madrid, Spain",Madrid,50,2024-06-27 17:21:17,,26.5,2.8,50.0,1011.0,20.0,38.0,1.1,33.0,1.8,2024-06-27,17,tarde,Buena
"collado villalba, Madrid, Spain",Madrid,39,2024-06-27 17:21:17,,34.2,4.2,38.6,1010.3,,34.0,0.6,29.5,0.2,2024-06-27,17,tarde,Buena
"villarejo de salvanes, Madrid, Spain",Madrid,42,2024-06-27 17:21:17,,25.0,1.9,41.9,1014.8,,21.0,,34.3,3.4,2024-06-27,17,tarde,Buena
"Mercado Central, Canarias, Spain",Canarias,30,2024-06-27 17:21:17,0.1,54.9,6.0,23.2,1012.5,20.0,30.0,0.6,25.2,11.8,2024-06-27,17,tarde,Buena
"Lezcano, Canarias, Spain",Canarias,28,2024-06-27 17:21:17,0.1,54.9,2.8,28.1,1012.5,12.0,13.0,2.1,25.2,11.8,2024-06-27,17,tarde,Buena
"San Nicolas, Canarias, Spain",Canarias,27,2024-06-27 17:21:17,0.1,54.9,1.0,26.9,1012.5,10.0,17.0,0.6,25.2,11.8,2024-06-27,17,tarde,Buena
"Jinamar fase 3, Canarias, Spain",Canarias,27,2024-06-27 17:21:17,0.1,54.9,2.8,26.9,1012.5,10.0,9.0,2.1,25.2,11.8,2024-06-27,17,tarde,Buena
"La Loma-Telde, Canarias, Spain",Canarias,27,2024-06-27 17:21:17,0.1,54.9,2.8,26.9,1012.5,14.0,13.0,2.6,25.2,11.8,2024-06-27,17,tarde,Buena
"Nestor Alamo, Canarias, Spain",Canarias,26,2024-06-27 17:21:17,0.1,54.9,8.7,26.0,1012.5,13.0,17.0,0.6,25.2,11.8,2024-06-27,17,tarde,Buena
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,31,2024-06-27 17:21:17,0.1,56.5,3.7,30.5,1015.5,14.0,21.0,0.6,26.2,1.5,2024-06-27,17,tarde,Buena
"Barcelona (Palau Reial), Catalunya, Spain",Catalunya,29,2024-06-27 17:21:17,0.1,56.5,3.7,28.9,1015.5,13.0,21.0,1.1,26.2,1.5,2024-06-27,17,tarde,Buena
"l'Hospitalet de Llobregat, Catalunya, Spain",Catalunya,29,2024-06-27 17:21:17,0.1,56.5,4.2,28.9,1015.5,16.0,21.0,1.1,26.2,1.5,2024-06-27,17,tarde,Buena
"Sant Adrià de Besòs, Catalunya, Spain",Catalunya,27,2024-06-27 17:21:17,,82.5,1.9,27.3,1014.2,16.0,,,24.7,2.7,2024-06-27,17,tarde,Buena
"Barcelona (Eixample), Catalunya, Spain",Catalunya,25,2024-06-27 17:21:17,0.1,84.7,10.1,26.4,1012.9,14.0,25.0,1.6,24.7,,2024-06-27,17,tarde,Buena
"Barcelona (Gràcia-St.Gervasi), Catalunya, Spain",Catalunya,25,2024-06-27 17:21:17,0.1,56.5,17.4,20.8,1015.5,14.0,25.0,0.6,26.2,1.5,2024-06-27,17,tarde,Buena
"Barcelona (Poblenou), Catalunya, Spain",Catalunya,18,2024-06-27 17:21:17,0.1,84.7,2.3,25.0,1012.9,18.0,,,24.7,,2024-06-27,17,tarde,Buena
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,12,2024-06-27 17:21:17,0.1,84.2,18.8,11.8,1013.7,12.0,,1.6,24.4,7.2,2024-06-27,17,tarde,Buena
"Barcelona, Catalunya, Spain",Catalunya,11,2024-06-27 17:21:17,0.1,57.5,31.6,35.8,1015.5,11.0,21.0,1.1,26.6,3.0,2024-06-27,17,tarde,Buena
