names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,35,2024-06-27T20:27:47+09:00,0.1,39.8,6.0,35.4,1013.6,5.0,13.0,1.6,28.2,5.0
"Casa De Campo, Madrid, Spain",Madrid,42,2024-06-27T20:40:51+09:00,,37.6,4.2,41.9,1013.6,18.0,30.0,,27.9,2.6
"Mendez Alvaro, Madrid, Spain",Madrid,38,2024-06-27T20:40:47+09:00,,39.3,5.1,,1012.1,20.0,38.0,,28.4,4.7
"Escuelas Aguirre, Madrid, Spain",Madrid,35,2024-06-27T20:41:50+09:00,0.1,37.6,8.3,35.4,1013.6,19.0,17.0,1.6,27.9,2.6
"Cuatro Caminos, Madrid, Spain",Madrid,30,2024-06-27T20:40:42+09:00,,37.6,9.6,,1013.6,19.0,30.0,,27.9,2.6
"Fernandez Ladreda, Madrid, Spain",Madrid,21,2024-06-27T20:40:52+09:00,,34.0,13.3,,1012.0,20.0,21.0,,29.5,2.5
"Plaza Elíptica, Madrid, Spain",Madrid,18,2024-06-27T20:23:51+09:00,0.1,35.0,12.8,,1012.0,18.0,17.0,,29.0,2.5
"Castellana, Madrid, Spain",Madrid,13,2024-06-27T20:40:45+09:00,,37.6,6.0,,1013.6,5.0,13.0,,27.9,2.6
"Sanchinarro, Madrid, Spain",Madrid,5,2024-06-27T20:40:45+09:00,,40.0,3.7,,1011.2,4.0,5.0,,28.1,5.0
"Plaza De Castilla, Madrid, Spain",Madrid,5,2024-06-27T20:23:51+09:00,,38.0,5.1,,1013.6,1.0,5.0,,27.7,3.0
"Media  Red, Madrid, Spain",Madrid,-,2021-12-18T06:32:00+09:00,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,38,2024-06-27T20:41:51+09:00,,47.3,1.0,37.8,1015.1,11.0,34.0,1.1,26.4,0.6
"algete, Madrid, Spain",Madrid,40,2024-06-27T20:38:15+09:00,,42.7,1.9,40.3,1010.3,,30.0,,28.6,5.8
"alcorcón, Madrid, Spain",Madrid,27,2024-06-27T20:38:04+09:00,,34.0,12.8,26.9,1012.0,,21.0,,29.5,2.5
"valdemoro, Madrid, Spain",Madrid,37,2024-06-27T20:38:14+09:00,,33.0,3.7,36.6,1012.0,,21.0,,30.5,4.3
"torrejon de ardoz, Madrid, Spain",Madrid,46,2024-06-27T18:43:05+09:00,,40.0,13.8,20.8,1012.5,15.0,46.0,,26.0,4.6
"villa del prado, Madrid, Spain",Madrid,27,2024-06-27T20:41:48+09:00,,34.0,2.8,27.3,1012.0,10.0,21.0,1.1,29.5,2.5
"collado villalba, Madrid, Spain",Madrid,59,2024-06-27T20:41:51+09:00,,47.6,4.2,34.2,1011.2,,59.0,0.6,26.1,1.5
"villarejo de salvanes, Madrid, Spain",Madrid,25,2024-06-27T20:38:07+09:00,,40.7,6.4,32.1,1015.4,,25.0,,29.4,6.2
"Mercado Central, Canarias, Spain",Canarias,30,2024-06-27T20:41:47+09:00,0.1,62.0,6.4,20.4,1013.0,20.0,30.0,0.6,23.6,10.2
"San Nicolas, Canarias, Spain",Canarias,24,2024-06-27T20:26:48+09:00,0.1,62.0,1.9,24.0,1013.0,12.0,21.0,0.6,23.6,10.2
"Lezcano, Canarias, Spain",Canarias,24,2024-06-27T20:41:51+09:00,0.1,62.0,6.4,23.6,1013.0,14.0,9.0,2.1,23.6,10.2
"Jinamar fase 3, Canarias, Spain",Canarias,23,2024-06-27T20:41:48+09:00,0.1,62.0,6.4,22.8,1013.0,13.0,5.0,2.1,23.6,10.2
"Nestor Alamo, Canarias, Spain",Canarias,21,2024-06-27T20:41:41+09:00,0.1,62.0,7.8,20.8,1013.0,15.0,21.0,0.6,23.6,10.2
"La Loma-Telde, Canarias, Spain",Canarias,21,2024-06-27T20:41:49+09:00,0.1,62.0,5.1,20.8,1013.0,12.0,9.0,3.1,23.6,10.2
